train/value_loss,rollout/ep_rew_mean,time/fps,train/explained_variance,train/n_updates,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/policy_loss,time/iterations,train/learning_rate,train/entropy_loss
6.838324906333071e-10,0.7368420958518982,20,0.0,7599,948.078947368421,1818,38000,-3.806769018410705e-05,7600,0.0007,-2.1358864307403564
1.1607280258496842e-16,0.7368420958518982,21,0.0,7699,948.078947368421,1829,38500,2.4471694004546407e-08,7700,0.0007,-2.1364309787750244
3.84259069008408e-10,0.7368420958518982,21,1.1920928955078125e-07,7799,948.078947368421,1845,39000,4.156693466939032e-05,7800,0.0007,-2.1335644721984863
1.9525217856232444e-17,0.7368420958518982,21,0.0,7899,948.078947368421,1860,39500,2.0210038087498106e-09,7900,0.0007,-2.1159844398498535
6.175225045966635e-18,0.7368420958518982,21,0.0,7999,948.078947368421,1876,40000,-5.198718788790302e-09,8000,0.0007,-2.0995686054229736
6.8633394221251365e-06,0.7179487347602844,21,0.22497665882110596,8099,1026.3333333333333,1906,40500,-0.005531391594558954,8100,0.0007,-2.169086217880249
7.745255061308853e-06,0.7250000238418579,21,0.0,8199,1014.675,1934,41000,-0.006012533325701952,8200,0.0007,-2.143523693084717
0.00012322849943302572,0.7317073345184326,21,-31.576210021972656,8299,1005.609756097561,1963,41500,-0.002542847767472267,8300,0.0007,-2.2102582454681396
6.806064448028337e-06,0.738095223903656,21,-22.63672637939453,8399,994.3333333333334,1990,42000,-0.002290019067004323,8400,0.0007,-2.1648173332214355
0.0003116869484074414,0.7674418687820435,21,-132.35386657714844,8499,984.3720930232558,2018,42500,-0.04442499205470085,8500,0.0007,-2.117284059524536
3.319127790746279e-05,0.7727272510528564,21,-61.95976257324219,8599,975.6818181818181,2046,43000,-0.011017879471182823,8600,0.0007,-2.124328136444092
9.563928324496374e-05,0.7777777910232544,20,-167.0009765625,8699,964.2888888888889,2075,43500,-0.0009287083521485329,8700,0.0007,-2.196739435195923
3.934280903195031e-05,0.782608687877655,20,-10.830526351928711,8799,953.8260869565217,2103,44000,-0.012741446495056152,8800,0.0007,-2.262444019317627
3.7976154999341816e-05,0.7872340679168701,20,-324.40582275390625,8899,945.0212765957447,2133,44500,0.004346077796071768,8900,0.0007,-2.122715711593628
2.2581530174647924e-06,0.7916666865348816,20,-1.0005481243133545,8999,936.2291666666666,2162,45000,0.002853935118764639,9000,0.0007,-2.156198024749756
